angle,trackPos,speedX,speedY,rpm,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,accel,brake,steering,gear
0.0191682,-0.333363,-0.00895409,-0.00649147,942.478,7.33484,7.47266,7.85775,8.55691,9.71329,11.6325,15.0419,22.0659,41.9373,200.0,19.8727,10.2759,7.12297,5.58646,4.71509,4.18959,3.87598,3.7113,3.66711,0.05,0.0,0.0,1
0.0191286,-0.333363,-0.00894559,-0.00533441,942.478,7.33472,7.47253,7.85753,8.55649,9.71311,11.632,15.0407,22.0637,41.9281,200.0,19.8775,10.2771,7.12346,5.58674,4.7152,4.18994,3.87598,3.7113,3.66724,0.1,0.0,0.0,1
0.0191825,-0.333363,-0.00882352,-0.00435298,942.478,7.33484,7.47266,7.85769,8.55695,9.71343,11.633,15.0423,22.0665,41.9404,200.0,19.8718,10.2752,7.12289,5.58649,4.71514,4.18956,3.8761,3.7113,3.66724,0.15000000000000002,0.0,0.0,1
0.0192426,-0.333363,0.00112122,-0.00524653,942.478,7.33484,7.47278,7.85789,8.55732,9.71401,11.6338,15.0439,22.0704,41.9537,200.0,19.8654,10.2736,7.12185,5.586,4.71474,4.18947,3.87585,3.7113,3.66711,0.2,0.0,0.0,1
0.0191377,-0.333363,0.0570552,0.00409444,942.478,7.33484,7.47241,7.85753,8.55648,9.71322,11.6319,15.0414,22.0643,41.9319,200.0,19.8769,10.2763,7.1233,5.58676,4.71511,4.18963,3.8761,3.71143,3.66724,0.25,0.0,0.0,1
0.0188573,-0.333363,0.141962,-0.00391869,942.478,7.33484,7.47205,7.8567,8.5553,9.71055,11.6281,15.0336,22.0475,41.8691,200.0,19.9081,10.284,7.12663,5.58848,4.71634,4.19036,3.87646,3.71155,3.66711,0.3,0.0,0.0,1
0.0186136,-0.333363,0.240463,-0.00610623,942.478,7.33472,7.4718,7.85614,8.55385,9.70869,11.6249,15.027,22.0326,41.8162,200.0,19.9361,10.2907,7.12947,5.59003,4.7171,4.19098,3.87671,3.71155,3.66724,0.35,0.0,0.0,1
0.0187753,-0.333385,0.344746,0.00369388,942.478,7.33496,7.47217,7.85648,8.55481,9.71013,11.6275,15.0318,22.0428,41.8519,200.0,19.9177,10.286,7.12737,5.58881,4.71637,4.19041,3.87634,3.71143,3.66699,0.39999999999999997,0.0,0.0,1
0.0185431,-0.333407,0.5028,0.0112439,942.478,7.33496,7.47192,7.85603,8.55401,9.70837,11.6241,15.0259,22.0291,41.8022,200.0,19.9442,10.2925,7.12963,5.59009,4.71696,4.19079,3.87646,3.7113,3.66699,0.44999999999999996,0.0,0.0,1
0.0186408,-0.333407,0.685443,0.0150915,942.478,7.33508,7.47205,7.85638,8.55437,9.70932,11.6255,15.0281,22.0348,41.8235,200.0,19.933,10.2889,7.12845,5.58961,4.71665,4.19059,3.87646,3.7113,3.66687,0.49999999999999994,0.0,0.0,1
0.0185784,-0.333452,0.826324,-0.010833,942.478,7.33521,7.47217,7.85641,8.55453,9.70905,11.6251,15.027,22.0315,41.811,200.0,19.9381,10.2905,7.12889,5.58938,4.71667,4.19046,3.87634,3.71118,3.66663,0.5499999999999999,0.0,0.0,1
0.0184925,-0.333496,0.979879,-0.0152148,942.478,7.33557,7.47241,7.85653,8.55425,9.70853,11.624,15.0255,22.0272,41.7936,200.0,19.9474,10.2924,7.12957,5.58978,4.71676,4.19035,3.8761,3.71094,3.66638,0.6,0.0,0.0,1
0.0182317,-0.333518,1.24497,-0.0252041,942.478,7.33545,7.47205,7.85588,8.55311,9.70672,11.6206,15.0186,22.0116,41.7364,200.0,19.9765,10.2989,7.1325,5.59127,4.71761,4.19085,3.87634,3.71106,3.66614,0.65,0.0,0.0,1
0.0181206,-0.333563,1.42594,-0.00528443,942.478,7.33582,7.47217,7.85571,8.5529,9.70602,11.6195,15.0161,22.0056,41.7134,200.0,19.9879,10.3009,7.13342,5.59139,4.71741,4.19077,3.87634,3.71094,3.66602,0.7000000000000001,0.0,0.0,1
0.0181058,-0.333629,1.66857,-0.0171064,942.478,7.33618,7.47266,7.85612,8.5531,9.70634,11.6199,15.0165,22.006,41.7119,200.0,19.9878,10.3003,7.13247,5.59095,4.71711,4.19041,3.87598,3.71057,3.66565,0.7500000000000001,0.0,0.0,1
0.0181149,-0.333696,1.93048,0.00610425,942.478,7.33643,7.4729,7.85649,8.55366,9.70709,11.6205,15.0176,22.0069,41.7155,200.0,19.9846,10.2989,7.13178,5.59045,4.71668,4.18991,3.87549,3.71008,3.66528,0.8000000000000002,0.0,0.0,1
0.0180076,-0.333785,2.23637,0.00570325,942.478,7.33704,7.47327,7.85688,8.55373,9.70682,11.62,15.0158,22.0017,41.6943,200.0,19.9958,10.3006,7.13215,5.59034,4.71627,4.18957,3.875,3.70959,3.66479,0.8500000000000002,0.0,0.0,1
0.0179046,-0.333873,2.55883,-0.0010271,942.478,7.3374,7.47363,7.85698,8.5537,9.70657,11.6191,15.014,21.9966,41.6743,200.0,20.0049,10.3024,7.13236,5.59018,4.71627,4.18945,3.87488,3.70923,3.66431,0.9000000000000002,0.0,0.0,1
0.0179256,-0.333962,2.90321,-1.41993E-4,942.478,7.33789,7.47412,7.85746,8.55444,9.7072,11.6201,15.0152,21.9986,41.6803,200.0,20.0006,10.3006,7.13139,5.58939,4.71553,4.18872,3.87415,3.70874,3.6637,0.9500000000000003,0.0,0.0,1
