angle,trackPos,speedX,speedY,rpm,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,accel,brake,steering,gear
0.0105961,-0.333363,-0.00283772,-0.0407017,942.478,7.33386,7.46033,7.83218,8.51349,9.64218,11.5123,14.818,21.5626,40.1372,200.0,20.9003,10.5148,7.22692,5.64248,4.74808,4.20985,3.88757,3.71655,3.66675,0.1,0.0,0.0,1
0.010712,-0.333363,-0.00277208,-0.0422197,942.478,7.33398,7.46057,7.83245,8.51415,9.64334,11.5141,14.821,21.5692,40.1605,200.0,20.8852,10.5114,7.22537,5.64173,4.74774,4.2095,3.88745,3.71643,3.66675,0.2,0.0,0.0,1
0.0105966,-0.333363,0.0926549,-0.0596231,942.478,7.33386,7.46033,7.83217,8.51348,9.64229,11.5123,14.8179,21.5625,40.1374,200.0,20.9003,10.5148,7.22686,5.64248,4.74821,4.20986,3.88757,3.71643,3.66675,0.30000000000000004,0.0,0.0,1
0.0106404,-0.333363,0.201643,-0.0164307,942.478,7.33386,7.46033,7.83234,8.51369,9.64261,11.5131,14.8192,21.5651,40.1463,200.0,20.8945,10.5135,7.22623,5.64218,4.74802,4.20958,3.88757,3.71643,3.66675,0.4,0.0,0.0,1
0.0104874,-0.333363,0.330941,-0.0318655,942.478,7.33398,7.46033,7.83202,8.51294,9.6414,11.5111,14.8151,21.5563,40.1157,200.0,20.9142,10.5182,7.22824,5.6433,4.74854,4.21004,3.88782,3.71655,3.66675,0.5,0.0,0.0,1
0.0104879,-0.333385,0.507916,-0.0232205,942.478,7.33411,7.46045,7.83199,8.5131,9.64161,11.5113,14.8155,21.5567,40.1161,200.0,20.9136,10.5179,7.22804,5.64306,4.74826,4.20982,3.8877,3.71643,3.66663,0.6,0.0,0.0,1
0.0105389,-0.333407,0.67719,-0.0048541,942.478,7.33423,7.46057,7.83231,8.5135,9.64218,11.5121,14.8168,21.56,40.1275,200.0,20.9064,10.5154,7.22704,5.64251,4.74809,4.20965,3.88745,3.71631,3.6665,0.7,0.0,0.0,1
0.0104836,-0.333452,0.91122,-9.99386E-4,942.478,7.33447,7.46082,7.8325,8.51365,9.64211,11.5117,14.8159,21.5571,40.1167,200.0,20.9124,10.5166,7.22722,5.6424,4.74796,4.20947,3.88721,3.71606,3.66614,0.7999999999999999,0.0,0.0,1
0.0103496,-0.333474,1.24198,1.49056E-4,942.478,7.33459,7.46069,7.8322,8.51297,9.64104,11.51,14.8128,21.5498,40.0905,200.0,20.9292,10.5203,7.22859,5.64313,4.74835,4.20975,3.88733,3.71606,3.66602,0.8999999999999999,0.0,0.0,1
0.0103791,-0.333518,1.47482,0.00313045,942.478,7.33484,7.46094,7.83271,8.51335,9.64178,11.511,14.8141,21.5518,40.0971,200.0,20.9238,10.5185,7.22765,5.6425,4.74765,4.2092,3.88696,3.7157,3.66589,0.9999999999999999,0.0,0.0,1
0.010341,-0.333585,1.89229,-0.00744015,942.478,7.33508,7.4613,7.83272,8.51369,9.64167,11.511,14.8136,21.5506,40.091,200.0,20.9269,10.5188,7.22756,5.64225,4.74751,4.20894,3.8866,3.71545,3.66553,1.0,0.0,0.0,1
0.0103338,-0.333651,2.2249,0.00891995,942.478,7.33545,7.46179,7.83325,8.51404,9.64232,11.5114,14.8145,21.551,40.0913,200.0,20.9266,10.518,7.22695,5.64163,4.74708,4.2084,3.88623,3.71509,3.66516,1.0,0.0,0.0,1
0.0102904,-0.333718,2.56775,-0.0039526,942.478,7.33582,7.46204,7.83349,8.51421,9.64236,11.5114,14.8139,21.5495,40.0832,200.0,20.9297,10.5175,7.22658,5.64158,4.74674,4.20828,3.88599,3.71472,3.66467,1.0,0.0,0.0,1
0.0103229,-0.333829,2.94799,-9.27986E-4,942.478,7.33643,7.46265,7.83431,8.51519,9.64352,11.5127,14.8158,21.5528,40.0922,200.0,20.9227,10.515,7.22506,5.64038,4.74566,4.20736,3.88525,3.71399,3.66418,1.0,0.0,0.0,1
0.0102838,-0.33394,3.29018,0.00165854,942.478,7.33704,7.46313,7.83463,8.51534,9.64383,11.5128,14.8157,21.5516,40.0864,200.0,20.9254,10.5148,7.22454,5.63992,4.74524,4.20691,3.88452,3.71338,3.66345,1.0,0.0,0.0,1
0.0102947,-0.334051,3.63337,-2.45398E-4,942.478,7.33765,7.46387,7.83526,8.51625,9.64487,11.514,14.8173,21.5535,40.0913,200.0,20.921,10.5128,7.22347,5.6388,4.74446,4.20616,3.88391,3.71277,3.66296,1.0,0.0,0.0,1
0.0102561,-0.334184,3.97765,-1.35853E-4,942.478,7.33838,7.4646,7.83608,8.51705,9.64534,11.5148,14.8179,21.5525,40.0862,200.0,20.9228,10.5115,7.22197,5.63789,4.74358,4.20535,3.88342,3.71204,3.66211,1.0,0.0,0.0,1
0.0102685,-0.334339,4.32256,5.5667E-5,942.478,7.33923,7.46545,7.83705,8.51802,9.64663,11.5162,14.8197,21.555,40.092,200.0,20.9165,10.5089,7.22008,5.63633,4.74255,4.20432,3.88232,3.7113,3.66138,1.0,0.0,0.0,1
0.0102261,-0.334495,4.66716,-5.72598E-8,942.478,7.34009,7.46619,7.8377,8.51869,9.64725,11.5165,14.8199,21.5548,40.0864,200.0,20.919,10.5081,7.21907,5.63556,4.74156,4.20348,3.88159,3.71033,3.6604,1.0,0.0,0.0,1
0.0102351,-0.33445,5.01152,-2.27878E-5,942.478,7.33984,7.46594,7.83756,8.5185,9.64696,11.5166,14.8197,21.554,40.086,200.0,20.9207,10.5084,7.21966,5.63566,4.74193,4.20382,3.88171,3.71069,3.66077,1.0,0.0,0.0,1
0.0101913,-0.334406,5.35569,2.92512E-5,942.478,7.3396,7.4657,7.83714,8.51789,9.64631,11.5155,14.818,21.5502,40.0754,200.0,20.9293,10.5108,7.22072,5.63646,4.74231,4.20408,3.88208,3.71082,3.66101,1.0,0.0,0.0,1
0.0101975,-0.334362,5.69997,-3.42744E-5,942.478,7.33936,7.46533,7.83683,8.51769,9.64598,11.5152,14.8174,21.5489,40.0736,200.0,20.9312,10.511,7.22106,5.63682,4.74256,4.20452,3.88232,3.71118,3.66113,1.0,0.0,0.0,1
0.0101512,-0.334339,6.04427,3.21739E-5,942.478,7.33923,7.46521,7.83658,8.51727,9.64558,11.5141,14.8158,21.5451,40.0628,200.0,20.9408,10.5131,7.222,5.63752,4.74296,4.20477,3.88245,3.7113,3.66125,1.0,0.0,0.0,1
0.0101555,-0.334339,6.38861,-4.40892E-5,942.478,7.33936,7.46521,7.83667,8.51744,9.64552,11.5144,14.8156,21.5444,40.0616,200.0,20.9419,10.5134,7.22188,5.63719,4.74308,4.20466,3.88245,3.7113,3.66125,1.0,0.0,0.0,1
0.0101064,-0.334339,6.73305,4.39958E-5,942.478,7.33923,7.46521,7.83649,8.51707,9.64513,11.5136,14.8145,21.541,40.0506,200.0,20.9502,10.5148,7.22243,5.63766,4.74317,4.2047,3.88245,3.71143,3.66138,1.0,0.0,0.0,1
0.0101083,-0.334339,7.07752,-6.53789E-5,942.478,7.33923,7.46521,7.83664,8.51707,9.64508,11.5135,14.8143,21.5401,40.0489,200.0,20.952,10.5146,7.2223,5.6376,4.74318,4.20469,3.88245,3.7113,3.66138,1.0,0.0,0.0,1
0.0100568,-0.334362,7.42198,7.70197E-5,948.653,7.33923,7.46549,7.83663,8.51702,9.64507,11.513,14.8131,21.5363,40.0383,200.0,20.9604,10.5156,7.22291,5.63766,4.74316,4.20461,3.88245,3.7113,3.66113,1.0,0.0,0.0,1
0.0100568,-0.334406,7.76901,-1.0074E-4,991.563,7.33948,7.46544,7.83661,8.51736,9.6451,11.5131,14.8132,21.536,40.0374,200.0,20.9618,10.5154,7.22254,5.63744,4.74306,4.20445,3.88231,3.71106,3.66089,1.0,0.0,0.0,1
0.010002,-0.33445,8.12173,1.5379E-4,1034.43,7.33984,7.46568,7.83689,8.51739,9.64485,11.5127,14.8122,21.5324,40.0257,200.0,20.9698,10.5166,7.2229,5.63735,4.74283,4.20436,3.88211,3.71082,3.66077,1.0,0.0,0.0,1
0.0100034,-0.334495,8.47921,-5.35252E-4,1076.85,7.33997,7.46604,7.83718,8.51773,9.64529,11.5132,14.8122,21.5323,40.0249,200.0,20.9702,10.5156,7.22233,5.63721,4.74229,4.204,3.88175,3.71045,3.6604,1.0,0.0,0.0,1
0.00993759,-0.334561,8.84053,-0.00219135,1120.07,7.34045,7.46616,7.83729,8.51763,9.64513,11.5126,14.8108,21.5279,40.0115,200.0,20.9806,10.5167,7.22257,5.63694,4.74228,4.20381,3.88154,3.71008,3.66003,1.0,0.0,0.0,1
0.00994569,-0.33465,9.20706,7.62454E-4,1162.96,7.34094,7.4668,7.83786,8.51828,9.64569,11.5136,14.8117,21.5287,40.0136,200.0,20.9794,10.5153,7.22175,5.63624,4.7418,4.20327,3.88103,3.70972,3.65967,1.0,0.0,0.0,1
0.00988657,-0.334739,9.57364,0.00263706,1202.67,7.34155,7.46716,7.8383,8.51862,9.64597,11.5134,14.811,21.5256,40.0027,200.0,20.9865,10.5159,7.22136,5.63573,4.7411,4.20275,3.88042,3.70923,3.65906,1.0,0.0,0.0,1
0.00984508,-0.33485,9.944,4.94477E-4,1241.55,7.34192,7.4676,7.83858,8.51883,9.64622,11.5135,14.8105,21.5232,39.995,200.0,20.993,10.5159,7.22097,5.63534,4.74054,4.20225,3.88006,3.70862,3.65857,1.0,0.0,0.0,1
