angle,trackPos,speedX,speedY,rpm,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,accel,brake,steering,gear
0.0142854,-0.333363,-0.0152743,-0.0313412,942.478,7.33423,7.46558,7.84294,8.53221,9.67269,11.5636,14.9135,21.7764,40.8921,200.0,20.4436,10.4103,7.18152,5.61803,4.73395,4.20103,3.88257,3.71423,3.66687,0.1,0.0,0.0,1
0.0144175,-0.333363,-0.0152771,-0.0310932,942.478,7.33423,7.46582,7.84352,8.53266,9.67392,11.5656,14.9169,21.784,40.9203,200.0,20.4278,10.4064,7.18015,5.61738,4.73318,4.20079,3.88232,3.71399,3.66687,0.2,0.0,0.0,1
0.0143607,-0.333363,-0.0150416,-0.0316001,942.478,7.33423,7.46558,7.84328,8.5325,9.67338,11.5648,14.9156,21.7808,40.9086,200.0,20.4342,10.4081,7.18096,5.61751,4.73348,4.20091,3.88245,3.71423,3.66687,0.30000000000000004,0.0,0.0,1
0.0146373,-0.333363,0.0599529,0.0038203,942.478,7.33423,7.46606,7.84415,8.53374,9.67563,11.5689,14.9228,21.797,40.9661,200.0,20.4012,10.401,7.17745,5.61575,4.73247,4.20026,3.88196,3.71411,3.66699,0.4,0.0,0.0,1
0.0146688,-0.333363,0.145639,-0.0168031,942.478,7.33435,7.46619,7.84428,8.53387,9.67568,11.5692,14.9236,21.7985,40.9733,200.0,20.3985,10.3998,7.1771,5.61567,4.73236,4.20026,3.88196,3.71399,3.66687,0.5,0.0,0.0,1
0.0147403,-0.333363,0.304392,0.0140716,942.478,7.33435,7.46619,7.8443,8.53425,9.67639,11.5702,14.9254,21.8031,40.9876,200.0,20.3896,10.3974,7.17628,5.61522,4.73204,4.19994,3.88196,3.71399,3.66687,0.6,0.0,0.0,1
0.0146983,-0.333385,0.428944,0.00125052,942.478,7.33435,7.46631,7.84452,8.53427,9.67627,11.5698,14.9243,21.8005,40.9786,200.0,20.3936,10.3983,7.17626,5.61543,4.73197,4.20003,3.88184,3.71387,3.66675,0.7,0.0,0.0,1
0.0146869,-0.333407,0.729252,0.00488348,942.478,7.33447,7.46631,7.84452,8.53421,9.67645,11.5701,14.9242,21.8006,40.9775,200.0,20.3944,10.398,7.176,5.61525,4.7319,4.19986,3.88171,3.71375,3.66663,0.7999999999999999,0.0,0.0,1
0.0146964,-0.33343,0.938812,0.006998,942.478,7.33472,7.46655,7.84472,8.53439,9.67651,11.5701,14.9252,21.8012,40.9797,200.0,20.3931,10.3978,7.17594,5.61482,4.73159,4.19953,3.88159,3.71362,3.6665,0.8999999999999999,0.0,0.0,1
0.0147355,-0.333474,1.23676,0.00118015,942.478,7.33484,7.46667,7.84513,8.53507,9.67731,11.571,14.9263,21.804,40.9885,200.0,20.3873,10.3961,7.175,5.61422,4.73117,4.19923,3.88135,3.71326,3.66626,0.9999999999999999,0.0,0.0,1
0.0146945,-0.333518,1.46799,-0.00292369,942.478,7.33508,7.46704,7.84523,8.53501,9.67713,11.5711,14.9261,21.8018,40.9817,200.0,20.3909,10.3966,7.17511,5.61408,4.73114,4.19908,3.8811,3.71301,3.66614,1.0,0.0,0.0,1
0.0147198,-0.333585,1.91979,-0.00168885,942.478,7.33545,7.46741,7.84566,8.53548,9.67788,11.5719,14.9273,21.8045,40.9881,200.0,20.386,10.3945,7.17409,5.61344,4.73046,4.19854,3.88062,3.71265,3.66565,1.0,0.0,0.0,1
0.014736,-0.333651,2.29409,5.74778E-4,942.478,7.33582,7.46777,7.84613,8.53612,9.67854,11.5726,14.9281,21.8065,40.9933,200.0,20.3816,10.3932,7.17291,5.6127,4.72993,4.19817,3.88037,3.71228,3.66528,1.0,0.0,0.0,1
0.0147169,-0.333762,2.6681,0.00412949,942.478,7.33655,7.46838,7.84685,8.5368,9.67915,11.5735,14.9289,21.8066,40.992,200.0,20.3819,10.3925,7.17197,5.61188,4.72911,4.19745,3.87976,3.71179,3.66467,1.0,0.0,0.0,1
0.0146769,-0.333851,3.04803,-0.00582273,942.478,7.33704,7.46887,7.84727,8.53698,9.6796,11.5734,14.929,21.8056,40.9862,200.0,20.3837,10.3918,7.17151,5.61138,4.72866,4.19694,3.87915,3.71118,3.66418,1.0,0.0,0.0,1
0.0146988,-0.333984,3.42328,-0.00150478,942.478,7.33765,7.4696,7.84804,8.53802,9.68059,11.5746,14.9309,21.8081,40.9925,200.0,20.3792,10.3893,7.17023,5.61049,4.72787,4.19621,3.8783,3.71045,3.66345,1.0,0.0,0.0,1
0.0146859,-0.334118,3.80131,0.00424159,942.478,7.33838,7.47046,7.84874,8.53883,9.68145,11.5759,14.9317,21.8087,40.993,200.0,20.3767,10.3876,7.16882,5.60925,4.72681,4.19528,3.87769,3.70984,3.66272,1.0,0.0,0.0,1
